currency,base_currency,currency_name,exchange_rate,date
IDR,EUR,Indonesian Rupiah,15298.0,2014-12-01
IDR,EUR,Indonesian Rupiah,14976.0,2015-01-01
IDR,EUR,Indonesian Rupiah,14038.0,2015-04-01
IDR,EUR,Indonesian Rupiah,14508.0,2015-05-01
IDR,EUR,Indonesian Rupiah,14437.0,2015-06-01
IDR,EUR,Indonesian Rupiah,14730.0,2015-07-01
IDR,EUR,Indonesian Rupiah,15925.0,2015-09-01
IDR,EUR,Indonesian Rupiah,16405.0,2015-10-01
IDR,EUR,Indonesian Rupiah,14682.0,2015-12-01
IDR,EUR,Indonesian Rupiah,15006.0,2016-01-01
IDR,EUR,Indonesian Rupiah,14891.0,2016-02-01
IDR,EUR,Indonesian Rupiah,14495.0,2016-03-01
IDR,EUR,Indonesian Rupiah,14986.0,2016-04-01
IDR,EUR,Indonesian Rupiah,15308.0,2016-06-01
IDR,EUR,Indonesian Rupiah,14668.0,2016-07-01
IDR,EUR,Indonesian Rupiah,14630.0,2016-08-01
IDR,EUR,Indonesian Rupiah,14897.0,2016-09-01
IDR,EUR,Indonesian Rupiah,14414.0,2016-11-01
IDR,EUR,Indonesian Rupiah,14427.0,2016-12-01
IDR,EUR,Indonesian Rupiah,14434.0,2017-02-01
IDR,EUR,Indonesian Rupiah,14063.0,2017-03-01
IDR,EUR,Indonesian Rupiah,14534.0,2017-05-01
IDR,EUR,Indonesian Rupiah,14939.0,2017-06-01
IDR,EUR,Indonesian Rupiah,15723.0,2017-08-01
IDR,EUR,Indonesian Rupiah,15817.0,2017-09-01
IDR,EUR,Indonesian Rupiah,15773.0,2017-11-01
IDR,EUR,Indonesian Rupiah,16085.0,2017-12-01
IDR,EUR,Indonesian Rupiah,16292.0,2018-01-01
IDR,EUR,Indonesian Rupiah,16781.0,2018-02-01
IDR,EUR,Indonesian Rupiah,16866.0,2018-03-01
IDR,EUR,Indonesian Rupiah,16676.0,2018-05-01
IDR,EUR,Indonesian Rupiah,16189.0,2018-06-01
IDR,EUR,Indonesian Rupiah,16830.0,2018-08-01
IDR,EUR,Indonesian Rupiah,17251.0,2018-10-01
IDR,EUR,Indonesian Rupiah,17244.0,2018-11-01
IDR,EUR,Indonesian Rupiah,16595.0,2019-01-01
IDR,EUR,Indonesian Rupiah,15955.0,2019-02-01
IDR,EUR,Indonesian Rupiah,16029.0,2019-03-01
IDR,EUR,Indonesian Rupiah,15939.0,2019-04-01
IDR,EUR,Indonesian Rupiah,15949.0,2019-05-01
IDR,EUR,Indonesian Rupiah,15922.0,2019-07-01
IDR,EUR,Indonesian Rupiah,15614.0,2019-08-01
IDR,EUR,Indonesian Rupiah,15523.0,2019-10-01
IDR,EUR,Indonesian Rupiah,15698.0,2019-11-01
IDR,EUR,Indonesian Rupiah,15560.0,2020-01-01
IDR,EUR,Indonesian Rupiah,17972.0,2020-04-01
IDR,EUR,Indonesian Rupiah,16636.0,2020-05-01
IDR,EUR,Indonesian Rupiah,16392.0,2020-06-01
IDR,EUR,Indonesian Rupiah,16139.0,2020-07-01
IDR,EUR,Indonesian Rupiah,17407.0,2020-09-01
IDR,EUR,Indonesian Rupiah,17466.0,2020-10-01
IDR,EUR,Indonesian Rupiah,17020.0,2020-12-01
IDR,EUR,Indonesian Rupiah,17162.0,2021-01-01
IDR,EUR,Indonesian Rupiah,16924.0,2021-02-01
IDR,EUR,Indonesian Rupiah,17123.0,2021-03-01
IDR,EUR,Indonesian Rupiah,16993.0,2021-04-01
IDR,EUR,Indonesian Rupiah,17431.0,2021-06-01
IDR,EUR,Indonesian Rupiah,17219.0,2021-07-01
IDR,EUR,Indonesian Rupiah,16901.0,2021-09-01
IDR,EUR,Indonesian Rupiah,16535.0,2021-10-01
IDR,EUR,Indonesian Rupiah,16508.0,2021-11-01
IDR,EUR,Indonesian Rupiah,16235.0,2021-12-01
IDR,EUR,Indonesian Rupiah,16211.0,2022-02-01
IDR,EUR,Indonesian Rupiah,15913.0,2022-03-01
IDR,EUR,Indonesian Rupiah,15860.0,2022-04-01
IDR,EUR,Indonesian Rupiah,15528.0,2022-06-01
IDR,EUR,Indonesian Rupiah,15588.0,2022-07-01
IDR,EUR,Indonesian Rupiah,15263.0,2022-08-01
IDR,EUR,Indonesian Rupiah,14790.0,2022-09-01
IDR,EUR,Indonesian Rupiah,15422.0,2022-11-01
IDR,EUR,Indonesian Rupiah,16354.0,2022-12-01
IDR,EUR,Indonesian Rupiah,16442.0,2023-02-01
IDR,EUR,Indonesian Rupiah,16227.0,2023-03-01
IDR,EUR,Indonesian Rupiah,16088.0,2023-05-01
IDR,EUR,Indonesian Rupiah,16118.0,2023-06-01
IDR,EUR,Indonesian Rupiah,16598.0,2023-08-01
IDR,EUR,Indonesian Rupiah,16408.0,2023-09-01
IDR,EUR,Indonesian Rupiah,16836.530027,2023-11-01
IDR,EUR,Indonesian Rupiah,16788.45703,2023-12-01
IDR,EUR,Indonesian Rupiah,17000.824823,2024-01-01
IDR,EUR,Indonesian Rupiah,17095.616425,2024-02-01
IDR,EUR,Indonesian Rupiah,17030.349515,2024-03-01
IDR,EUR,Indonesian Rupiah,17132.79878,2024-04-01
IDR,EUR,Indonesian Rupiah,17322.121788,2024-05-01
IDR,EUR,Indonesian Rupiah,17647.408098,2024-06-01
IDR,EUR,Indonesian Rupiah,17567.797567,2024-07-01
IDR,EUR,Indonesian Rupiah,17569.868772,2024-08-01
IDR,EUR,Indonesian Rupiah,17179.88001,2024-09-01
IDR,EUR,Indonesian Rupiah,16850.315135,2024-10-01
IDR,EUR,Indonesian Rupiah,17085.814475,2024-11-01
IDR,EUR,Indonesian Rupiah,16753.232474,2024-12-01
IDR,EUR,Indonesian Rupiah,16878.768802,2025-01-01
